population_site_id,contig,accessibility_records_expected,accessibility_records_found,accessibility_complete,accessibility_missing_positions,accessibility_fraction_23bp,pam_accessibility_fraction,protospacer_accessibility_fraction
AGAP012991__SITE01,X,23,23,TRUE,,1,1,1
AGAP012991__SITE02,X,23,23,TRUE,,1,1,1
AGAP012991__SITE03,X,23,23,TRUE,,1,1,1
AGAP012991__SITE04,X,23,23,TRUE,,1,1,1
AGAP012991__SITE05,X,23,23,TRUE,,1,1,1
AGAP004739__SITE01,2L,23,23,TRUE,,1,1,1
AGAP004739__SITE02,2L,23,23,TRUE,,1,1,1
AGAP004739__SITE03,2L,23,23,TRUE,,1,1,1
AGAP004739__SITE04,2L,23,23,TRUE,,1,1,1
AGAP004739__SITE05,2L,23,23,TRUE,,1,1,1
AGAP008578__SITE01,3R,23,23,TRUE,,1,1,1
AGAP008578__SITE02,3R,23,23,TRUE,,1,1,1
AGAP008578__SITE03,3R,23,23,TRUE,,1,1,1
AGAP008578__SITE04,3R,23,23,TRUE,,1,1,1
AGAP008578__SITE05,3R,23,23,TRUE,,1,1,1
AGAP010220__SITE01,3R,23,23,TRUE,,1,1,1
AGAP010220__SITE02,3R,23,23,TRUE,,1,1,1
AGAP010220__SITE03,3R,23,23,TRUE,,1,1,1
AGAP010220__SITE04,3R,23,23,TRUE,,1,1,1
AGAP010220__SITE05,3R,23,23,TRUE,,1,1,1
AGAP005920__SITE01,2L,23,23,TRUE,,0.608695652173913,1,0.55
AGAP005920__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005920__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005920__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005920__SITE05,2L,23,23,TRUE,,1,1,1
AGAP001108__SITE01,2R,23,23,TRUE,,1,1,1
AGAP001108__SITE02,2R,23,23,TRUE,,1,1,1
AGAP001108__SITE03,2R,23,23,TRUE,,1,1,1
AGAP001108__SITE04,2R,23,23,TRUE,,1,1,1
AGAP001108__SITE05,2R,23,23,TRUE,,1,1,1
AGAP010453__SITE01,3L,23,23,TRUE,,1,1,1
AGAP010453__SITE02,3L,23,23,TRUE,,1,1,1
AGAP010453__SITE03,3L,23,23,TRUE,,1,1,1
AGAP010453__SITE04,3L,23,23,TRUE,,1,1,1
AGAP010453__SITE05,3L,23,23,TRUE,,1,1,1
AGAP006098__SITE01,2L,23,23,TRUE,,1,1,1
AGAP006098__SITE02,2L,23,23,TRUE,,1,1,1
AGAP006098__SITE03,2L,23,23,TRUE,,1,1,1
AGAP006098__SITE04,2L,23,23,TRUE,,1,1,1
AGAP006098__SITE05,2L,23,23,TRUE,,1,1,1
AGAP006766__SITE01,2L,23,23,TRUE,,1,1,1
AGAP006766__SITE02,2L,23,23,TRUE,,1,1,1
AGAP006766__SITE03,2L,23,23,TRUE,,1,1,1
AGAP006766__SITE04,2L,23,23,TRUE,,1,1,1
AGAP006766__SITE05,2L,23,23,TRUE,,1,1,1
AGAP007965__SITE01,3R,23,23,TRUE,,1,1,1
AGAP007965__SITE02,3R,23,23,TRUE,,1,1,1
AGAP007965__SITE03,3R,23,23,TRUE,,1,1,1
AGAP007965__SITE04,3R,23,23,TRUE,,1,1,1
AGAP007965__SITE05,3R,23,23,TRUE,,1,1,1
AGAP007031__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007031__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007031__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007031__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007031__SITE05,2L,23,23,TRUE,,1,1,1
AGAP011377__SITE01,3L,23,23,TRUE,,1,1,1
AGAP011377__SITE02,3L,23,23,TRUE,,1,1,1
AGAP011377__SITE03,3L,23,23,TRUE,,1,1,1
AGAP011377__SITE04,3L,23,23,TRUE,,1,1,1
AGAP011377__SITE05,3L,23,23,TRUE,,1,1,1
AGAP004050__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004050__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004050__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004050__SITE04,2R,23,23,TRUE,,1,1,1
AGAP004050__SITE05,2R,23,23,TRUE,,1,1,1
AGAP028779__SITE01,3R,23,23,TRUE,,1,1,1
AGAP028779__SITE02,3R,23,23,TRUE,,1,1,1
AGAP028779__SITE03,3R,23,23,TRUE,,1,1,1
AGAP028779__SITE04,3R,23,23,TRUE,,1,1,1
AGAP028779__SITE05,3R,23,23,TRUE,,1,1,1
