population_id,gene_id,portfolio_size,portfolio_site_ids,at_least_one_intact_fraction,all_targets_intact_fraction,n_haplotypes_total,n_haplotypes_callable_atleast1,n_haplotypes_callable_all,n_samples,primary_population_n20,sensitivity_population_n10,sensitivity_population_n30
GNgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE03,0.9375,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE03,0.915178571428571,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,0.98,0.946666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,1,0.934782608695652,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,0.998316498316498,0.910774410774411,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,1,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE04,0.991071428571429,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,0.98,0.946666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,1,0.934782608695652,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,0.998316498316498,0.910774410774411,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,1,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,2,AGAP005321__SITE02;AGAP005321__SITE05,0.991071428571429,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,0.98,0.946666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,1,0.934782608695652,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,0.998316498316498,0.910774410774411,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,1,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE04,0.991071428571429,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,0.98,0.946666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,1,0.934782608695652,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,0.998316498316498,0.910774410774411,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,1,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,2,AGAP005321__SITE03;AGAP005321__SITE05,0.991071428571429,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,0.916666666666667,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,0.966666666666667,0.966666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,0.983695652173913,0.983695652173913,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,0.993265993265993,0.993265993265993,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,1,1,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,1,1,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,1,1,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,0.990909090909091,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,1,1,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,1,1,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,2,AGAP005321__SITE04;AGAP005321__SITE05,0.991071428571429,0.991071428571429,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,1,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.953333333333333,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.945652173913043,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.909090909090909,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.964788732394366,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.972727272727273,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE03,0.995535714285714,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.94,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.929347826086957,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.904040404040404,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.964788732394366,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.963636363636364,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE04,1,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.94,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.929347826086957,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.904040404040404,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.964788732394366,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.963636363636364,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE02;AGAP005321__SITE05,1,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.94,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.929347826086957,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.904040404040404,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.964788732394366,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.963636363636364,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE04,1,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.94,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.929347826086957,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.904040404040404,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.964788732394366,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.963636363636364,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE03;AGAP005321__SITE05,1,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,0.96,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,0.978260869565217,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,0.986531986531987,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,0.971830985915493,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,1,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,1,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,0.963636363636364,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,1,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,1,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE01;AGAP005321__SITE04;AGAP005321__SITE05,1,0.986607142857143,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,0.98,0.946666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,1,0.934782608695652,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,0.998316498316498,0.910774410774411,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,1,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE04,0.991071428571429,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,0.98,0.946666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,1,0.934782608695652,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,0.998316498316498,0.910774410774411,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,1,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE03;AGAP005321__SITE05,0.991071428571429,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,0.98,0.946666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,1,0.934782608695652,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,0.998316498316498,0.910774410774411,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,1,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE02;AGAP005321__SITE04;AGAP005321__SITE05,0.991071428571429,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,1,0.916666666666667,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,0.98,0.946666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,1,0.934782608695652,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,0.998316498316498,0.910774410774411,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,1,0.979166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,1,0.927536231884058,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,1,0.990909090909091,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,1,0.708333333333333,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,1,0.9375,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP005321,3,AGAP005321__SITE03;AGAP005321__SITE04;AGAP005321__SITE05,0.991071428571429,0.915178571428571,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,1,1,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,1,1,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,1,1,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,0.996632996632997,0.996632996632997,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,1,1,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,1,1,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,1,1,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,1,1,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP001099,2,AGAP001099__SITE01;AGAP001099__SITE02,1,1,24,24,24,12,FALSE,TRUE,FALSE
