contig,population_id,population_site_id,n_haplotypes_total,n_haplotypes_called_23bp,callable_fraction_23bp,target_23bp_exact_match_fraction,pam_intact_fraction,protospacer_exact_match_fraction,max_target_variant_alt_af,mean_target_heterozygosity_proxy,n_variable_positions,n_variant_positions_in_panel,n_samples,primary_population_n20,sensitivity_population_n10,sensitivity_population_n30
3R,BFgam,AGAP009048__SITE04,184,184,1,0.978260869565217,1,0.978260869565217,0.0217391304347826,0.00184926440371497,2,2,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP009048__SITE04,594,594,1,0.988215488215488,1,0.988215488215488,0.0117845117845118,0.00101266409274022,2,2,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP009048__SITE04,142,142,1,1,1,1,0,0,2,2,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP009048__SITE04,48,48,1,1,1,1,0,0,2,2,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP009048__SITE04,138,138,1,1,1,1,0,0,2,2,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP009048__SITE04,110,110,1,0.990909090909091,1,0.990909090909091,0.00909090909090909,0.000783327344592167,2,2,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP009048__SITE04,24,24,1,1,1,1,0,0,2,2,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP009048__SITE04,80,80,1,0.9875,1,0.9875,0.0125,0.00107336956521739,2,2,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP009048__SITE04,224,224,1,1,1,1,0,0,2,2,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP009048__SITE05,156,156,1,0.935897435897436,1,0.935897435897436,0.0576923076923077,0.00528113655203956,7,7,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP009048__SITE05,150,150,1,0.986666666666667,1,0.986666666666667,0.00666666666666667,0.00115169082125604,7,7,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP009048__SITE05,184,184,1,0.902173913043478,1,0.902173913043478,0.0978260869565217,0.00767444727541711,7,7,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP009048__SITE05,594,594,1,0.937710437710438,1,0.937710437710438,0.0521885521885522,0.00517077277434473,7,7,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP009048__SITE05,142,142,1,1,1,1,0,0,7,7,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP009048__SITE05,48,48,1,1,1,1,0,0,7,7,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP009048__SITE05,138,138,1,0.884057971014493,1,0.884057971014493,0.115942028985507,0.0089129978174114,7,7,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP009048__SITE05,110,110,1,0.990909090909091,0.990909090909091,1,0.00909090909090909,0.000783327344592167,7,7,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP009048__SITE05,24,24,1,0.833333333333333,0.958333333333333,0.875,0.125,0.0129830917874396,7,7,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP009048__SITE05,80,80,1,0.975,1,0.975,0.025,0.0021195652173913,7,7,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP009048__SITE05,224,224,1,0.924107142857143,1,0.924107142857143,0.0580357142857143,0.00629609860248447,7,7,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP010313__SITE01,156,156,1,1,1,1,0,0,1,1,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP010313__SITE01,150,150,1,1,1,1,0,0,1,1,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP010313__SITE01,184,184,1,0.994565217391304,1,0.994565217391304,0.00543478260869565,0.000470021369277554,1,1,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP010313__SITE01,594,594,1,1,1,1,0,0,1,1,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP010313__SITE01,142,142,1,1,1,1,0,0,1,1,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP010313__SITE01,48,48,1,1,1,1,0,0,1,1,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP010313__SITE01,138,138,1,1,1,1,0,0,1,1,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP010313__SITE01,110,110,1,1,1,1,0,0,1,1,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP010313__SITE01,24,24,1,1,1,1,0,0,1,1,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP010313__SITE01,80,80,1,1,1,1,0,0,1,1,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP010313__SITE01,224,224,1,1,1,1,0,0,1,1,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP010313__SITE02,156,156,1,1,1,1,0,0,2,2,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP010313__SITE02,150,150,1,1,1,1,0,0,2,2,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP010313__SITE02,184,184,1,1,1,1,0,0,2,2,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP010313__SITE02,594,594,1,1,1,1,0,0,2,2,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP010313__SITE02,142,142,1,1,1,1,0,0,2,2,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP010313__SITE02,48,48,1,1,1,1,0,0,2,2,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP010313__SITE02,138,138,1,1,1,1,0,0,2,2,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP010313__SITE02,110,110,1,1,1,1,0,0,2,2,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP010313__SITE02,24,24,1,1,1,1,0,0,2,2,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP010313__SITE02,80,80,1,1,1,1,0,0,2,2,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP010313__SITE02,224,224,1,0.995535714285714,1,0.995535714285714,0.00446428571428571,0.000386465727595386,2,2,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP010313__SITE03,156,156,1,1,1,1,0,0,2,2,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP010313__SITE03,150,150,1,1,1,1,0,0,2,2,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP010313__SITE03,184,184,1,1,1,1,0,0,2,2,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP010313__SITE03,594,594,1,1,1,1,0,0,2,2,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP010313__SITE03,142,142,1,1,1,1,0,0,2,2,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP010313__SITE03,48,48,1,1,1,1,0,0,2,2,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP010313__SITE03,138,138,1,1,1,1,0,0,2,2,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP010313__SITE03,110,110,1,1,1,1,0,0,2,2,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP010313__SITE03,24,24,1,1,1,1,0,0,2,2,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP010313__SITE03,80,80,1,1,1,1,0,0,2,2,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP010313__SITE03,224,224,1,0.995535714285714,1,0.995535714285714,0.00446428571428571,0.000386465727595386,2,2,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP010313__SITE04,156,156,1,1,1,1,0,0,2,2,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP010313__SITE04,150,150,1,1,1,1,0,0,2,2,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP010313__SITE04,184,184,1,1,1,1,0,0,2,2,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP010313__SITE04,594,594,1,0.996632996632997,1,0.996632996632997,0.00168350168350168,0.000292290000971014,2,2,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP010313__SITE04,142,142,1,1,1,1,0,0,2,2,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP010313__SITE04,48,48,1,1,1,1,0,0,2,2,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP010313__SITE04,138,138,1,1,1,1,0,0,2,2,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP010313__SITE04,110,110,1,1,1,1,0,0,2,2,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP010313__SITE04,24,24,1,1,1,1,0,0,2,2,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP010313__SITE04,80,80,1,1,1,1,0,0,2,2,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP010313__SITE04,224,224,1,1,1,1,0,0,2,2,112,TRUE,TRUE,TRUE
3L,AOcol,AGAP010313__SITE05,156,156,1,1,1,1,0,0,1,1,78,TRUE,TRUE,TRUE
3L,BFcol,AGAP010313__SITE05,150,150,1,1,1,1,0,0,1,1,75,TRUE,TRUE,TRUE
3L,BFgam,AGAP010313__SITE05,184,184,1,0.994565217391304,1,0.994565217391304,0.00543478260869565,0.000470021369277554,1,1,92,TRUE,TRUE,TRUE
3L,CMgam,AGAP010313__SITE05,594,594,1,1,1,1,0,0,1,1,297,TRUE,TRUE,TRUE
3L,CIcol,AGAP010313__SITE05,142,142,1,1,1,1,0,0,1,1,71,TRUE,TRUE,TRUE
3L,FRgam,AGAP010313__SITE05,48,48,1,1,1,1,0,0,1,1,24,TRUE,TRUE,FALSE
3L,GAgam,AGAP010313__SITE05,138,138,1,1,1,1,0,0,1,1,69,TRUE,TRUE,TRUE
3L,GHcol,AGAP010313__SITE05,110,110,1,1,1,1,0,0,1,1,55,TRUE,TRUE,TRUE
3L,GHgam,AGAP010313__SITE05,24,24,1,1,1,1,0,0,1,1,12,FALSE,TRUE,FALSE
3L,GNgam,AGAP010313__SITE05,80,80,1,1,1,1,0,0,1,1,40,TRUE,TRUE,TRUE
3L,UGgam,AGAP010313__SITE05,224,224,1,1,1,1,0,0,1,1,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP009338__SITE01,156,156,1,0.987179487179487,1,0.987179487179487,0.0128205128205128,0.0011005345453506,9,9,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP009338__SITE01,150,150,1,0.866666666666667,0.993333333333333,0.873333333333333,0.12,0.0114782608695652,9,9,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP009338__SITE01,184,184,1,0.836956521739131,0.978260869565217,0.858695652173913,0.130434782608696,0.0131169351524616,9,9,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP009338__SITE01,594,594,1,0.875420875420875,0.97979797979798,0.895622895622896,0.0925925925925926,0.0100428478411204,9,9,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP009338__SITE01,142,142,1,0.76056338028169,0.985915492957746,0.774647887323944,0.211267605633803,0.0169134833495769,9,9,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP009338__SITE01,48,48,1,1,1,1,0,0,9,9,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP009338__SITE01,138,138,1,0.876811594202899,0.876811594202899,1,0.123188405797101,0.00939243673689305,9,9,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP009338__SITE01,110,110,1,0.809090909090909,1,0.809090909090909,0.190909090909091,0.0134315486884657,9,9,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP009338__SITE01,24,24,1,0.833333333333333,1,0.833333333333333,0.125,0.0129830917874396,9,9,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP009338__SITE01,80,80,1,0.85,1,0.85,0.15,0.0110869565217391,9,9,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP009338__SITE01,224,224,1,0.830357142857143,0.973214285714286,0.857142857142857,0.142857142857143,0.0136840062111801,9,9,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP009338__SITE02,156,156,1,0.987179487179487,1,0.987179487179487,0.0128205128205128,0.0011005345453506,6,6,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP009338__SITE02,150,150,1,0.846666666666667,1,0.846666666666667,0.126666666666667,0.0119072463768116,6,6,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP009338__SITE02,184,184,1,0.885869565217391,1,0.885869565217391,0.108695652173913,0.0088944480973124,6,6,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP009338__SITE02,594,594,1,0.872053872053872,1,0.872053872053872,0.114478114478115,0.00997039146651209,6,6,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP009338__SITE02,142,142,1,0.852112676056338,1,0.852112676056338,0.0915492957746479,0.0118549632146831,6,6,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP009338__SITE02,48,48,1,1,1,1,0,0,6,6,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP009338__SITE02,138,138,1,0.811594202898551,1,0.811594202898551,0.181159420289855,0.0135247436143302,6,6,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP009338__SITE02,110,110,1,0.936363636363636,1,0.936363636363636,0.0545454545454545,0.00526769673014732,6,6,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP009338__SITE02,24,24,1,0.916666666666667,1,0.916666666666667,0.0833333333333333,0.00664251207729469,6,6,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP009338__SITE02,80,80,1,0.825,1,0.825,0.1625,0.0129076086956522,6,6,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP009338__SITE02,224,224,1,0.915178571428571,1,0.915178571428571,0.0803571428571429,0.00681254159272405,6,6,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP009338__SITE03,156,156,1,0.987179487179487,1,0.987179487179487,0.0128205128205128,0.0011005345453506,7,7,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP009338__SITE03,150,150,1,0.846666666666667,0.986666666666667,0.86,0.126666666666667,0.0119072463768116,7,7,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP009338__SITE03,184,184,1,0.847826086956522,0.951086956521739,0.885869565217391,0.108695652173913,0.0129397139804389,7,7,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP009338__SITE03,594,594,1,0.82996632996633,0.936026936026936,0.872053872053872,0.114478114478115,0.015177392428161,7,7,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP009338__SITE03,142,142,1,0.901408450704225,0.992957746478873,0.908450704225352,0.0915492957746479,0.00784005933950303,7,7,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP009338__SITE03,48,48,1,1,1,1,0,0,7,7,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP009338__SITE03,138,138,1,0.688405797101449,0.869565217391304,0.811594202898551,0.181159420289855,0.02338748710081,7,7,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP009338__SITE03,110,110,1,0.945454545454546,1,0.945454545454546,0.0545454545454545,0.00448436938555516,7,7,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP009338__SITE03,24,24,1,0.833333333333333,0.916666666666667,0.916666666666667,0.0833333333333333,0.0132850241545894,7,7,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP009338__SITE03,80,80,1,0.825,1,0.825,0.1625,0.0129076086956522,7,7,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP009338__SITE03,224,224,1,0.857142857142857,0.933035714285714,0.915178571428571,0.0803571428571429,0.0122455911712511,7,7,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP009338__SITE04,156,156,1,0,1,0,1,0,6,6,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP009338__SITE04,150,150,1,0.02,1,0.02,0.98,0.00228019323671498,6,6,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP009338__SITE04,184,184,1,0,1,0,1,0.000470021369277554,6,6,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP009338__SITE04,594,594,1,0.00168350168350168,1,0.00168350168350168,0.998316498316498,0.00301433305385875,6,6,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP009338__SITE04,142,142,1,0.0211267605633803,1,0.0211267605633803,0.97887323943662,0.00300578732653114,6,6,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP009338__SITE04,48,48,1,0,1,0,1,0,6,6,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP009338__SITE04,138,138,1,0,1,0,1,0,6,6,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP009338__SITE04,110,110,1,0.0454545454545455,1,0.0454545454545455,0.954545454545455,0.0053395616241466,6,6,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP009338__SITE04,24,24,1,0,1,0,1,0,6,6,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP009338__SITE04,80,80,1,0,1,0,1,0,6,6,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP009338__SITE04,224,224,1,0.00446428571428571,1,0.00446428571428571,0.995535714285714,0.000386465727595385,6,6,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP009338__SITE05,156,156,1,0.628205128205128,1,0.628205128205128,0.371794871794872,0.0203098647914701,7,7,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP009338__SITE05,150,150,1,0.926666666666667,1,0.926666666666667,0.0333333333333333,0.00624154589371981,7,7,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP009338__SITE05,184,184,1,0.978260869565217,1,0.978260869565217,0.0217391304347826,0.00184926440371497,7,7,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP009338__SITE05,594,594,1,0.96969696969697,1,0.96969696969697,0.0252525252525253,0.00257885545544746,7,7,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP009338__SITE05,142,142,1,0.887323943661972,1,0.887323943661972,0.105633802816901,0.00882330110485325,7,7,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP009338__SITE05,48,48,1,0.979166666666667,1,0.979166666666667,0.0208333333333333,0.00177385265700483,7,7,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP009338__SITE05,138,138,1,0.826086956521739,1,0.826086956521739,0.173913043478261,0.0124928084162078,7,7,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP009338__SITE05,110,110,1,0.927272727272727,1,0.927272727272727,0.0454545454545455,0.00612288896873877,7,7,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP009338__SITE05,24,24,1,0.958333333333333,1,0.958333333333333,0.0416666666666667,0.00347222222222222,7,7,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP009338__SITE05,80,80,1,0.95,0.9875,0.9625,0.025,0.00426630434782609,7,7,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP009338__SITE05,224,224,1,0.977678571428571,1,0.977678571428571,0.0223214285714286,0.00189766803460515,7,7,112,TRUE,TRUE,TRUE
X,AOcol,AGAP001015__SITE01,156,156,1,0.871794871794872,1,0.871794871794872,0.128205128205128,0.00971900637452477,3,3,78,TRUE,TRUE,TRUE
X,BFcol,AGAP001015__SITE01,150,144,0.96,1,1,1,0,0,3,3,72,TRUE,TRUE,TRUE
X,BFgam,AGAP001015__SITE01,184,134,0.728260869565217,1,1,1,0,0,3,3,67,TRUE,TRUE,TRUE
X,CMgam,AGAP001015__SITE01,594,506,0.851851851851852,0.996047430830039,1,0.996047430830039,0.00395256916996047,0.000342343162340622,3,3,253,TRUE,TRUE,TRUE
X,CIcol,AGAP001015__SITE01,142,142,1,1,1,1,0,0,3,3,71,TRUE,TRUE,TRUE
X,FRgam,AGAP001015__SITE01,48,24,0.5,1,1,1,0,0,3,3,12,FALSE,TRUE,FALSE
X,GAgam,AGAP001015__SITE01,138,138,1,1,1,1,0,0,3,3,69,TRUE,TRUE,TRUE
X,GHcol,AGAP001015__SITE01,110,110,1,1,1,1,0,0,3,3,55,TRUE,TRUE,TRUE
X,GHgam,AGAP001015__SITE01,24,24,1,1,1,1,0,0,3,3,12,FALSE,TRUE,FALSE
X,GNgam,AGAP001015__SITE01,80,80,1,0.975,0.9875,0.9875,0.0125,0.00214673913043478,3,3,40,TRUE,TRUE,TRUE
X,UGgam,AGAP001015__SITE01,224,224,1,1,1,1,0,0,3,3,112,TRUE,TRUE,TRUE
X,AOcol,AGAP001015__SITE02,156,156,1,1,1,1,0,0,2,2,78,TRUE,TRUE,TRUE
X,BFcol,AGAP001015__SITE02,150,144,0.96,1,1,1,0,0,2,2,72,TRUE,TRUE,TRUE
X,BFgam,AGAP001015__SITE02,184,134,0.728260869565217,0.992537313432836,1,0.992537313432836,0.00746268656716418,0.000644086510988213,2,2,67,TRUE,TRUE,TRUE
X,CMgam,AGAP001015__SITE02,594,506,0.851851851851852,0.994071146245059,1,0.994071146245059,0.00592885375494071,0.000512495865051586,2,2,253,TRUE,TRUE,TRUE
X,CIcol,AGAP001015__SITE02,142,142,1,1,1,1,0,0,2,2,71,TRUE,TRUE,TRUE
X,FRgam,AGAP001015__SITE02,48,24,0.5,1,1,1,0,0,2,2,12,FALSE,TRUE,FALSE
X,GAgam,AGAP001015__SITE02,138,138,1,1,1,1,0,0,2,2,69,TRUE,TRUE,TRUE
X,GHcol,AGAP001015__SITE02,110,110,1,1,1,1,0,0,2,2,55,TRUE,TRUE,TRUE
X,GHgam,AGAP001015__SITE02,24,24,1,1,1,1,0,0,2,2,12,FALSE,TRUE,FALSE
X,GNgam,AGAP001015__SITE02,80,80,1,0.9875,1,0.9875,0.0125,0.00107336956521739,2,2,40,TRUE,TRUE,TRUE
X,UGgam,AGAP001015__SITE02,224,224,1,1,1,1,0,0,2,2,112,TRUE,TRUE,TRUE
X,AOcol,AGAP001015__SITE03,156,156,1,1,1,1,0,0,5,5,78,TRUE,TRUE,TRUE
X,BFcol,AGAP001015__SITE03,150,144,0.96,1,1,1,0,0,5,5,72,TRUE,TRUE,TRUE
X,BFgam,AGAP001015__SITE03,184,134,0.728260869565217,1,1,1,0,0,5,5,67,TRUE,TRUE,TRUE
X,CMgam,AGAP001015__SITE03,594,506,0.851851851851852,0.986166007905138,0.996047430830039,0.990118577075099,0.00790513833992095,0.00119582368512037,5,5,253,TRUE,TRUE,TRUE
X,CIcol,AGAP001015__SITE03,142,142,1,0.964788732394366,1,0.964788732394366,0.0352112676056338,0.00295403775993376,5,5,71,TRUE,TRUE,TRUE
X,FRgam,AGAP001015__SITE03,48,24,0.5,1,1,1,0,0,5,5,12,FALSE,TRUE,FALSE
X,GAgam,AGAP001015__SITE03,138,138,1,1,1,1,0,0,5,5,69,TRUE,TRUE,TRUE
X,GHcol,AGAP001015__SITE03,110,110,1,1,1,1,0,0,5,5,55,TRUE,TRUE,TRUE
X,GHgam,AGAP001015__SITE03,24,24,1,1,1,1,0,0,5,5,12,FALSE,TRUE,FALSE
X,GNgam,AGAP001015__SITE03,80,80,1,1,1,1,0,0,5,5,40,TRUE,TRUE,TRUE
X,UGgam,AGAP001015__SITE03,224,224,1,1,1,1,0,0,5,5,112,TRUE,TRUE,TRUE
X,AOcol,AGAP001015__SITE04,156,156,1,0.724358974358974,0.724358974358974,1,0.275641025641026,0.0173620044021382,1,1,78,TRUE,TRUE,TRUE
X,BFcol,AGAP001015__SITE04,150,144,0.96,0.944444444444444,0.944444444444444,1,0.0555555555555556,0.00456253354804079,1,1,72,TRUE,TRUE,TRUE
X,BFgam,AGAP001015__SITE04,184,134,0.728260869565217,1,1,1,0,0,1,1,67,TRUE,TRUE,TRUE
X,CMgam,AGAP001015__SITE04,594,506,0.851851851851852,0.99802371541502,0.99802371541502,1,0.00197628458498024,0.000171511207323427,1,1,253,TRUE,TRUE,TRUE
X,CIcol,AGAP001015__SITE04,142,142,1,0.964788732394366,0.964788732394366,1,0.0352112676056338,0.00295403775993376,1,1,71,TRUE,TRUE,TRUE
X,FRgam,AGAP001015__SITE04,48,24,0.5,1,1,1,0,0,1,1,12,FALSE,TRUE,FALSE
X,GAgam,AGAP001015__SITE04,138,138,1,1,1,1,0,0,1,1,69,TRUE,TRUE,TRUE
X,GHcol,AGAP001015__SITE04,110,110,1,0.981818181818182,0.981818181818182,1,0.0181818181818182,0.00155228171038448,1,1,55,TRUE,TRUE,TRUE
X,GHgam,AGAP001015__SITE04,24,24,1,1,1,1,0,0,1,1,12,FALSE,TRUE,FALSE
X,GNgam,AGAP001015__SITE04,80,80,1,1,1,1,0,0,1,1,40,TRUE,TRUE,TRUE
X,UGgam,AGAP001015__SITE04,224,224,1,1,1,1,0,0,1,1,112,TRUE,TRUE,TRUE
X,AOcol,AGAP001015__SITE05,156,156,1,1,1,1,0,0,1,1,78,TRUE,TRUE,TRUE
X,BFcol,AGAP001015__SITE05,150,144,0.96,1,1,1,0,0,1,1,72,TRUE,TRUE,TRUE
X,BFgam,AGAP001015__SITE05,184,134,0.728260869565217,1,1,1,0,0,1,1,67,TRUE,TRUE,TRUE
X,CMgam,AGAP001015__SITE05,594,506,0.851851851851852,1,1,1,0,0,1,1,253,TRUE,TRUE,TRUE
X,CIcol,AGAP001015__SITE05,142,142,1,1,1,1,0,0,1,1,71,TRUE,TRUE,TRUE
X,FRgam,AGAP001015__SITE05,48,24,0.5,1,1,1,0,0,1,1,12,FALSE,TRUE,FALSE
X,GAgam,AGAP001015__SITE05,138,138,1,1,1,1,0,0,1,1,69,TRUE,TRUE,TRUE
X,GHcol,AGAP001015__SITE05,110,110,1,1,1,1,0,0,1,1,55,TRUE,TRUE,TRUE
X,GHgam,AGAP001015__SITE05,24,24,1,1,1,1,0,0,1,1,12,FALSE,TRUE,FALSE
X,GNgam,AGAP001015__SITE05,80,80,1,1,1,1,0,0,1,1,40,TRUE,TRUE,TRUE
X,UGgam,AGAP001015__SITE05,224,224,1,0.995535714285714,1,0.995535714285714,0.00446428571428571,0.000386465727595386,1,1,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP010219__SITE01,156,156,1,1,1,1,0,0,3,3,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP010219__SITE01,150,150,1,1,1,1,0,0,3,3,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP010219__SITE01,184,184,1,0.967391304347826,1,0.967391304347826,0.0326086956521739,0.0027430755321772,3,3,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP010219__SITE01,594,594,1,0.946127946127946,1,0.946127946127946,0.0488215488215488,0.00447504370795251,3,3,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP010219__SITE01,142,142,1,1,1,1,0,0,3,3,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP010219__SITE01,48,48,1,0.9375,1,0.9375,0.0625,0.00509510869565217,3,3,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP010219__SITE01,138,138,1,0.985507246376812,1,0.985507246376812,0.0144927536231884,0.00124197510570487,3,3,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP010219__SITE01,110,110,1,1,1,1,0,0,3,3,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP010219__SITE01,24,24,1,1,1,1,0,0,3,3,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP010219__SITE01,80,80,1,1,1,1,0,0,3,3,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP010219__SITE01,224,224,1,0.986607142857143,1,0.986607142857143,0.0133928571428571,0.00114899900177462,3,3,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP010219__SITE02,156,156,1,1,1,1,0,0,2,2,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP010219__SITE02,150,150,1,1,1,1,0,0,2,2,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP010219__SITE02,184,184,1,0.951086956521739,1,0.951086956521739,0.0489130434782609,0.00404526588312649,2,2,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP010219__SITE02,594,594,1,0.954545454545455,1,0.954545454545455,0.0437710437710438,0.0037857223481583,2,2,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP010219__SITE02,142,142,1,1,1,1,0,0,2,2,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP010219__SITE02,48,48,1,1,1,1,0,0,2,2,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP010219__SITE02,138,138,1,0.971014492753623,1,0.971014492753623,0.0289855072463768,0.00244742153183018,2,2,69,TRUE,TRUE,TRUE
